,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
322,kabo,29,CF,1643793370,11,7.6994,18.629,30.78,3.66
323,merrill,0,US,1643793370,74,45.1805,-89.6835,-14.13,2.57
324,tiznit,100,MA,1643793370,24,29.5833,-9.5,20.31,1.98
325,kokopo,91,PG,1643793371,83,-4.352,152.2633,25.72,4.59
326,willowmore,95,ZA,1643793372,43,-33.2926,23.4895,29.42,6.61
327,hay river,53,GB,1643793372,90,52.0705,-3.1274,9.8,3.85
328,nikolskoye,96,RU,1643793145,96,59.7035,30.7861,-5.06,0.58
329,mehriz,0,IR,1643793372,35,31.5917,54.4318,10.28,1.87
330,cherdyn,100,RU,1643793372,95,60.403,56.4787,-2.26,3.57
331,alofi,82,NU,1643793372,88,-19.0595,-169.9187,23.94,3.6
332,san ramon,2,ML,1643793157,7,13.3034,-4.8956,23.95,5.64
333,ashqelon,5,IL,1643793373,46,31.6693,34.5715,20.51,2.49
334,inzhavino,100,RU,1643793373,92,52.3185,42.4937,-2.93,2.66
335,berlevag,94,NO,1643793131,72,70.8578,29.0864,-4.33,4.24
336,tukrah,94,LY,1643793373,72,32.5341,20.5791,13.1,6.99
337,chiapa,0,MX,1643793373,78,18.4669,-96.945,14.13,2.24
338,kokkola,97,FI,1643793236,87,63.8385,23.1307,-11.65,1.03
339,georgetown,20,MY,1643793068,72,5.4112,100.3354,31.96,4.63
340,castlerea,98,IE,1643793374,85,53.7667,-8.5,9.45,4.21
341,bangkalan,90,ID,1643793374,71,-7.0455,112.7351,30.97,4.48
342,muisne,78,EC,1643793374,89,0.6,-80.0333,23.73,0.58
343,smithers,100,CA,1643793375,79,54.7804,-127.1743,-10.82,6.69
344,yar-sale,59,RU,1643793375,97,66.8333,70.8333,-24.2,3.69
345,lagos,19,NG,1643793263,17,6.5833,3.75,29.56,2.0
346,inirida,74,CO,1643793375,69,3.8653,-67.9239,23.3,0.46
347,sibolga,100,ID,1643793375,66,1.7427,98.7792,28.92,0.91
348,grand gaube,51,US,1643793140,45,38.8755,-109.5012,-3.56,3.47
349,taoudenni,49,ML,1643793376,20,22.6783,-3.9836,20.27,7.12
350,kapoeta,100,SS,1643793376,20,4.7717,33.5903,32.95,3.27
351,ranong,19,TH,1643793166,56,9.9658,98.6348,30.34,0.65
352,amga,100,RU,1643793376,100,60.8953,131.9608,-25.82,0.64
353,santa lucia,89,PH,1643793104,67,17.486,120.4348,29.45,1.99
354,nouadhibou,82,MR,1643793132,50,20.931,-17.0347,20.95,5.88
355,hualmay,62,PE,1643793377,85,-11.0964,-77.6139,20.75,3.44
356,meadow lake,65,US,1643793377,51,45.5291,-102.2163,-16.4,4.63
357,kushiro,94,JP,1643793270,74,42.975,144.3747,-4.6,0.9
358,saint-louis,75,SN,1643793377,9,16.3333,-15.0,25.44,7.98
359,isangel,100,VU,1643793377,94,-19.55,169.2667,24.06,2.06
360,lydenburg,0,ZA,1643793378,42,-25.0978,30.4597,29.67,1.46
361,houma,87,US,1643793138,98,29.5958,-90.7195,17.22,4.09
362,shouguang,9,CN,1643793378,22,36.88,118.7375,2.92,1.66
363,beringovskiy,55,RU,1643793378,88,63.05,179.3167,-19.19,7.52
364,tarakan,20,ID,1643793212,62,3.3,117.6333,30.72,2.06
365,bako,83,ET,1643793378,24,5.7833,36.5667,30.09,1.52
366,brigham city,100,CA,1643793379,83,45.2464,-72.8454,-0.16,5.24
367,linhares,100,BR,1643793379,97,-19.3911,-40.0722,23.34,1.14
